text,label,language,label_name,text_len,word_count
"The Germany government approved a $5 billion budget for agriculture. The plan, reviewed by expert panel, aims to eradicate poverty by 2026. Opposition parties offered mixed responses.",0,en,REAL,183,27
"அம்பலம்: a senior minister கேமராவில் accepting bribe பிடிக்கப்பட்டனர்! 2,300 லட்சம் மக்கள் நீதி கோருகின்றனர்! India globalists காரணமாக நலிவடைகிறது! உடனே பகிருங்கள்!",1,ta,FAKE,164,19
"The WHO announced today that tax reform will take effect from March 15. Officials confirmed the decision after 21 days of deliberation. The measure is expected to boost employment, according to AFP.",0,en,REAL,198,32
அம்பலம்: a governor கேமராவில் accepting bribe பிடிக்கப்பட்டனர்! 100 லட்சம் மக்கள் நீதி கோருகின்றனர்! USA elites காரணமாக நலிவடைகிறது! உடனே பகிருங்கள்!,1,ta,FAKE,149,18
"UNESCO நிறுவனம் இன்று அறிவித்தது: vaccine mandate March 15 முதல் நடைமுறைக்கு வரும். 7 நாள் ஆலோசனைக்குப் பிறகு அதிகாரிகள் இந்த முடிவை உறுதிப்படுத்தினர். AFP தெரிவிக்கும் வகையில், இந்த நடவடிக்கை improve healthcare என்று எதிர்பார்க்கப்படுகிறது.",0,ta,REAL,241,28
"The Japan government approved a $2,500 billion budget for agriculture. The plan, reviewed by finance ministry, aims to boost GDP by 7% by 2030. Opposition parties offered mixed responses.",0,en,REAL,187,29
MIRACLE: a mother of three LOSES 5 kg in 21 days using ONE weird trick doctors HATE! Experts BAFFLED! a famous actor uses this SECRET daily! ORDER before January 1 — LIMITED SUPPLY!,1,en,FAKE,181,33
"The RBI announced today that new trade agreement will take effect from April 5. Officials confirmed the decision after 21 days of deliberation. The measure is expected to cut emissions, according to Reuters.",0,en,REAL,207,33
"The Japan government approved a $200 billion budget for defence. The plan, reviewed by expert panel, aims to achieve net-zero by 2030. Opposition parties offered mixed responses.",0,en,REAL,178,27
"The Japan government approved a $2,500 billion budget for education. The plan, reviewed by finance ministry, aims to achieve net-zero by 2027. Opposition parties offered mixed responses.",0,en,REAL,186,27
"அதிசயம்: a retired teacher ஒரே 90 நாளில் 1,000 கிலோ குறைத்தனர்! மருத்துவர்கள் வெறுக்கும் இந்த ஒரு இரகசிய உத்தி! a famous actor தினமும் இதை பயன்படுத்துகிறார்! இன்றே ஆர்டர் செய்யுங்கள்!",1,ta,FAKE,183,25
"அம்பலம்: the opposition leader கேமராவில் accepting bribe பிடிக்கப்பட்டனர்! 2,300 லட்சம் மக்கள் நீதி கோருகின்றனர்! USA globalists காரணமாக நலிவடைகிறது! உடனே பகிருங்கள்!",1,ta,FAKE,166,19
LEAKED: classified file REVEALS that UN plans to microchip citizens by 2025! Insiders FLEE for their lives! 100% of population at RISK! They are COMING for your gun rights! RESIST now!,1,en,FAKE,184,31
LEAKED: leaked email REVEALS that WEF plans to control food supply by 2035! Insiders FLEE for their lives! 12% of population at RISK! They are COMING for your gun rights! RESIST now!,1,en,FAKE,182,32
"அதிசயம்: a mother of three ஒரே 90 நாளில் 1,000 கிலோ குறைத்தனர்! மருத்துவர்கள் வெறுக்கும் இந்த ஒரு இரகசிய உத்தி! a tech billionaire தினமும் இதை பயன்படுத்துகிறார்! இன்றே ஆர்டர் செய்யுங்கள்!",1,ta,FAKE,187,26
கசிந்த ஆவணம்: UN 2025-ல் microchip citizens திட்டமிடுகிறது! உள்நாட்டு தகவலாளர்கள் உயிருக்கு பயந்து ஓடுகின்றனர்! மக்களுக்கு gun rights ஆபத்தில் உள்ளது! SHARE செய்யுங்கள்!,1,ta,FAKE,169,19
MIRACLE: a local farmer LOSES 200 kg in 7 days using ONE weird trick doctors HATE! Experts BAFFLED! a tech billionaire uses this SECRET daily! ORDER before June 30 — LIMITED SUPPLY!,1,en,FAKE,181,32
"Stock markets fell on Friday as Google reported disappointing quarterly earnings. Analysts at Citi revised their 2035 forecast to 6.3%, citing innovation.",0,en,REAL,154,22
"Researchers at MIT published findings in Science showing that doubled lifespan. The study, conducted over 2 years with 10,000 participants, concludes that early screening saves lives. Peer reviewers praised the methodology.",0,en,REAL,223,31
"Bengaluru reported 2,300 new cases of influenza on Thursday. Health authorities have deployed medical teams to manage the situation. Officials urge residents to get vaccinated.",0,en,REAL,176,25
BREAKING: a major politician SECRETLY meets foreign spy! Government HIDING the TRUTH about chemtrails! SHARE before they DELETE this! ministry spokesperson confirms SHOCKING revelation that mainstream media REFUSES to cover. This changes EVERYTHING!,1,en,FAKE,249,33
BREAKING: a major politician SECRETLY funds terror groups! Government HIDING the TRUTH about chemtrails! SHARE before they DELETE this! senior official confirms SHOCKING revelation that mainstream media REFUSES to cover. This changes EVERYTHING!,1,en,FAKE,245,33
அம்பலம்: a senior minister கேமராவில் accepting bribe பிடிக்கப்பட்டனர்! 12 லட்சம் மக்கள் நீதி கோருகின்றனர்! India immigrants காரணமாக நலிவடைகிறது! உடனே பகிருங்கள்!,1,ta,FAKE,161,19
"EXCLUSIVE: Scientists DISCOVER that coconut oil CURES COVID-19 in just 14 days! Big Pharma DOESN'T want you to know! 2,300 doctors SILENCED for revealing this! WAKE UP! The Big Pharma cover-up is REAL!",1,en,FAKE,201,33
"USA அரசு defence துறைக்கு ₹2,500 கோடி நிதி ஒதுக்கியது. finance ministry மதிப்பாய்வு செய்த திட்டம் 2035-ல் achieve net-zero நோக்கமாக கொண்டுள்ளது. எதிர்க்கட்சிகள் கலவையான கருத்துக்களை தெரிவித்தன.",0,ta,REAL,193,22
"The Germany government approved a $5 billion budget for infrastructure. The plan, reviewed by expert panel, aims to eradicate poverty by 2025. Opposition parties offered mixed responses.",0,en,REAL,186,27
கசிந்த ஆவணம்: UN 2027-ல் microchip citizens திட்டமிடுகிறது! உள்நாட்டு தகவலாளர்கள் உயிருக்கு பயந்து ஓடுகின்றனர்! மக்களுக்கு property ஆபத்தில் உள்ளது! SHARE செய்யுங்கள்!,1,ta,FAKE,167,18
"இரகசியம் வெளியாயிற்று: turmeric 7 நாளில் cholera-ஐ குணப்படுத்துகிறது! பெரிய நிறுவனங்கள் இதை மறைக்கின்றன! 500,000 மருத்துவர்கள் இதை வெளியிட்டதால் நிறுத்தப்பட்டனர்! விழிப்புணர்வு பெறுங்கள்! New World Order உண்மையானது!",1,ta,FAKE,215,22
"UK அரசு education துறைக்கு ₹2,500 கோடி நிதி ஒதுக்கியது. cabinet மதிப்பாய்வு செய்த திட்டம் 2026-ல் eradicate poverty நோக்கமாக கொண்டுள்ளது. எதிர்க்கட்சிகள் கலவையான கருத்துக்களை தெரிவித்தன.",0,ta,REAL,186,21
LEAKED: classified file REVEALS that government plans to control food supply by 2025! Insiders FLEE for their lives! 45% of population at RISK! They are COMING for your gun rights! RESIST now!,1,en,FAKE,192,32
UK அரசு agriculture துறைக்கு ₹5 கோடி நிதி ஒதுக்கியது. expert panel மதிப்பாய்வு செய்த திட்டம் 2026-ல் achieve net-zero நோக்கமாக கொண்டுள்ளது. எதிர்க்கட்சிகள் கலவையான கருத்துக்களை தெரிவித்தன.,0,ta,REAL,188,22
LEAKED: secret memo REVEALS that WEF plans to control food supply by 2035! Insiders FLEE for their lives! 12% of population at RISK! They are COMING for your freedom of speech! RESIST now!,1,en,FAKE,188,33
"இரகசியம் வெளியாயிற்று: lemon water 21 நாளில் dengue-ஐ குணப்படுத்துகிறது! பெரிய நிறுவனங்கள் இதை மறைக்கின்றன! 2,300 மருத்துவர்கள் இதை வெளியிட்டதால் நிறுத்தப்பட்டனர்! விழிப்புணர்வு பெறுங்கள்! New World Order உண்மையானது!",1,ta,FAKE,216,23
"USA அரசு defence துறைக்கு ₹1,000 கோடி நிதி ஒதுக்கியது. expert panel மதிப்பாய்வு செய்த திட்டம் 2027-ல் eradicate poverty நோக்கமாக கொண்டுள்ளது. எதிர்க்கட்சிகள் கலவையான கருத்துக்களை தெரிவித்தன.",0,ta,REAL,190,22
"UN நிறுவனம் இன்று அறிவித்தது: new trade agreement December 1 முதல் நடைமுறைக்கு வரும். 21 நாள் ஆலோசனைக்குப் பிறகு அதிகாரிகள் இந்த முடிவை உறுதிப்படுத்தினர். senior official தெரிவிக்கும் வகையில், இந்த நடவடிக்கை boost employment என்று எதிர்பார்க்கப்படுகிறது.",0,ta,REAL,254,30
"The WHO announced today that tax reform will take effect from June 30. Officials confirmed the decision after 60 days of deliberation. The measure is expected to improve healthcare, according to senior official.",0,en,REAL,211,33
"Researchers at IIT Madras published findings in NEJM showing that reduced risk by 40%. The study, conducted over 10 years with 5,000 participants, concludes that diet is key. Peer reviewers praised the methodology.",0,en,REAL,214,33
MIRACLE: a retired teacher LOSES 200 kg in 30 days using ONE weird trick doctors HATE! Experts BAFFLED! a major politician uses this SECRET daily! ORDER before March 15 — LIMITED SUPPLY!,1,en,FAKE,186,32
Google நிறுவனம் record காலாண்டு வருவாய் அறிவித்ததால் Thursday அன்று சந்தை plunged. Morgan Stanley பகுப்பாய்வாளர்கள் 2025 கணிப்பை 7.5% ஆக திருத்தினர்.,0,ta,REAL,149,18
